post_date,post_publish_time,impressions,members_reached,reactions,comments,reposts,employees_1_to_10,employees_51_to_200,employees_201_to_500,employees_501_to_1000,employees_1001_to_5000,employees_5001_to_10000,employees_10001_or_more,reactions_top_job_title,reactions_top_location,reactions_top_industry,comments_top_job_title,comments_top_location,comments_top_industry,post_url
2024-11-01,02:03,470,268,8,1,0,0.104477614,0.119402982,0,0,0.12313433,0,0.167910442,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Director of Interactive Media,Los Angeles Metropolitan Area,Higher Education,https://www.linkedin.com/feed/update/urn:li:share:7257935361023062016
2024-11-01,14:04,354,191,2,0,0,0.104712039,0.120418847,0,0,0.104712039,0,0.214659691,Founder,Los Angeles Metropolitan Area,"Technology, Information and Internet",,,,https://www.linkedin.com/feed/update/urn:li:share:7258116602989064192
2024-10-31,20:19,429,268,1,0,0,0.111940302,0.097014926,0,0,0.115671642,0,0.220149249,,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7257848714377998336
2024-10-23,18:25,781,385,5,0,0,0.116883114,0.106493503,0,0,0.12207792,0,0.187012985,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7254920897684258818
2024-10-12,06:06,1893,891,30,2,0,0.098765433,0.113355778,0,0,0.116722785,0,0.205387205,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Greater Bengaluru Area,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7250748533102780416
2024-10-11,17:19,2389,1146,46,20,0,0.100349039,0.109947644,0,0,0.114310645,0,0.194589883,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7250555694586699776
2024-10-08,15:03,2831,1358,27,9,6,0.108247422,0.117820323,0,0,0.106038295,0,0.177466869,Founder,Dallas-Fort Worth Metroplex,Software Development,Founder,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7249434272363634688
2024-10-05,18:54,656,272,6,7,0,0.132352948,0.091911763,0,0,0.121323526,0,0.238970593,Software Engineer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7248405096324030465
2024-09-25,12:23,1145,657,14,1,0,0.101978689,0.106544904,0,0,0.105022833,0,0.232876718,Project Specialist,Dallas-Fort Worth Metroplex,Software Development,Chief Technology Officer,Dallas-Fort Worth Metroplex,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7244682869376180225
2024-07-20,14:47,2072,1124,27,4,0,0.087188609,0.130782917,0,0,0.121886119,0,0.222419932,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Board Member,"Austin, Texas Metropolitan Area",Higher Education,https://www.linkedin.com/feed/update/urn:li:share:7220439054008344577
2024-07-06,17:08,2458,1338,17,4,1,0.103139013,0.11210762,0,0.096412554,0.122570999,0,0.204783261,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Enterprise Engineer,Tulsa Metropolitan Area,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7215401139544936451
2024-06-27,23:58,835,462,8,1,0,0.075757578,0.108225107,0,0,0.127705634,0,0.23160173,User Experience Design Specialist,Dallas-Fort Worth Metroplex,Software Development,Chief Design Officer,Greater Hartford,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7212242963031023616
2024-06-17,22:53,787,495,4,0,0,0,0.086868688,0.088888891,0,0.121212125,0,0.210101008,Social Media Marketing Specialist,"Austin, Texas Metropolitan Area",Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7208602578392158208
2024-06-11,17:25,572,317,3,0,0,0.100946374,0.085173503,0,0,0.110410094,0,0.186119869,System Administrator,Dallas-Fort Worth Metroplex,Software Development,,,,https://www.linkedin.com/feed/update/urn:li:share:7206345882756108289
2024-05-21,19:09,3720,2033,45,4,3,0.093457945,0.102803737,0,0,0.125922278,0,0.20068863,Pastor,Nashville Metropolitan Area,Non-profit Organizations,Account Manager,Nashville Metropolitan Area,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7198761907166597120
2024-05-20,17:45,4870,3060,78,12,0,0.080065362,0.11633987,0,0,0.123856209,0,0.207516342,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7198378314204418048
2024-05-07,17:08,1715,906,23,1,0,0.100441501,0.13465783,0,0,0.099337749,0,0.208609268,Software Engineer,Tallahassee Metropolitan Area,Software Development,Technical Consultant,Cologne Bonn Region,IT Services and IT Consulting,https://www.linkedin.com/feed/update/urn:li:share:7193658058097504256
2024-05-04,17:34,1447,672,20,2,3,0.125,0.129464284,0,0,0.113095239,0,0.139880955,Software Engineer,Dunedin,Software Development,Software Engineer,Dallas-Fort Worth Metroplex,Software Development,https://www.linkedin.com/feed/update/urn:li:share:7192577443575037952
2024-04-12,23:50,889,484,5,0,0,0.099173553,0.1053719,0,0,0.140495867,0,0.15495868,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7184699532218130432
2024-04-08,04:19,3011,1646,39,1,0,0.077156745,0.10145808,0,0,0.133049816,0,0.256986648,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7182955273886605312
2024-03-29,03:48,928,403,4,0,1,0.104218364,0.081885859,0,0,0.1439206,0,0.181141436,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7179323478955761664
2024-03-24,21:31,1538,711,24,2,0,0.090014063,0.116736993,0,0,0.116736993,0,0.194092825,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7177779122503344128
2024-03-20,13:40,1652,275,15,6,0,0.07272727,0.119999997,0,0,0.127272725,0,0.225454539,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7176210882291519488
2024-03-16,20:47,3545,421,20,4,2,0,0.076009504,0,0.090261281,0.156769603,0,0.192399055,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7174868848444133376
2024-03-15,23:52,432,22,4,0,0,0,0.13636364,0,0.045454547,0.181818187,0,0.227272734,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7174553137607839744
2024-03-10,06:59,1176,26,7,2,0,0,0.15384616,0.115384616,0.115384616,0,0,0.230769232,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7172486167190331392
2024-03-08,22:03,1934,25,18,1,1,0.079999998,0,0,0.280000001,0.239999995,0.079999998,0.119999997,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7171988848661528576
2024-03-08,22:27,2162,51,21,13,0,0.078431375,0.156862751,0.078431375,0,0,0,0.254901975,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7171995087625805824
2024-02-28,21:54,5986,19,45,17,1,0.052631579,0.105263159,0,0.105263159,0.157894731,0,0.157894731,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7168725150346018817
2024-02-24,02:00,894,19,6,3,0,0.263157904,0,0.105263159,0,0.105263159,0,0.052631579,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7166975099714097152
2024-02-20,15:44,5603,190,64,15,3,0.110526316,0.110526316,0,0,0.105263159,0,0.089473687,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7165733079372718080
2024-02-18,05:00,665,12,6,0,1,0.166666672,0.333333343,0,0,0,0.083333336,0.083333336,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7164846008839917568
2024-02-17,00:27,792,8,8,0,0,0,0.333333343,0,0,0.333333343,0.111111112,0.222222224,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7164415042220666880
2024-02-15,02:05,2298,46,13,17,0,0,0.152173907,0,0.086956523,0.108695649,0,0.195652172,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7163714927239610368
2024-02-09,14:55,1306,47,13,8,1,0.127659574,0.127659574,0,0,0.063829787,0,0.170212761,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7161734376211382272
2024-02-05,14:34,1432,57,46,4,1,0.087719299,0.087719299,0,0,0.157894731,0,0.315789461,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7160279515259195393
2024-02-04,18:38,1784,13,36,4,1,0,0,0,0.15384616,0.15384616,0,0.384615391,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7159978430464159744
2024-02-02,17:25,909,9,7,3,0,0,0.272727281,0,0.181818187,0.090909094,0,0.272727281,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7159235326698221568
2024-01-30,14:43,999,8,14,1,0,0,0.125,0,0.125,0.25,0,0.125,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7158107500276314112
2024-01-28,20:29,2091,172,32,13,0,0.093023255,0.098837212,0,0.162790701,0,0,0.08139535,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7157469752485933056
2024-01-24,05:41,16586,314,159,27,8,0,0.124203824,0.073248409,0,0.12101911,0,0.159235671,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7155796633417342976
2024-01-11,20:21,2762,14,17,14,0,0,0.285714298,0.142857149,0.071428575,0.285714298,0,0,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7151307226614222849
2024-01-10,20:46,5440,122,47,16,0,0,0.163934425,0,0.13934426,0.065573767,0,0.155737698,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7150951132163432448
2023-12-21,02:33,817,3,6,0,0,0,0,0.333333343,0.333333343,0,0,0.333333343,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7143428359736164353
2023-12-18,18:54,2028,5,6,5,0,0.111111112,0,0.222222224,0,0,0.111111112,0.222222224,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7142588061795692545
2023-12-11,19:35,6384,11,74,16,1,0.181818187,0.272727281,0,0,0.181818187,0,0.272727281,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7140061587083599873
2023-12-06,17:47,860,1,3,0,0,0,0.166666672,0,0.166666672,0,0.166666672,0.5,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7138222507114856449
2023-08-16,13:34,683,12,3,0,1,0.083333336,0,0.083333336,0,0.166666672,0.166666672,0.166666672,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7097571442975801344
2023-08-15,15:16,641,3,3,2,0,0,0.166666672,0,0.166666672,0,0.166666672,0.333333343,,,,,,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7097234601240137729
2023-08-01,15:11,1047,2,17,0,0,0,0.333333343,0.166666672,0.166666672,0.166666672,0.166666672,0,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7092159820375494656
2023-07-13,18:37,1623,3,37,4,1,0,0.333333343,0,0,0,0.333333343,0.333333343,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7085326301959507968
2023-07-12,21:38,461,29,2,0,0,0.103448279,0.172413796,0,0,0.137931034,0.068965517,0.137931034,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7085009433906339841
2023-06-18,15:28,641,3,6,1,0,0,0,0.333333343,0,0,0.333333343,0,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7076219138435674112
2023-05-17,14:46,2449,28,20,6,0,0,0.137931034,0.137931034,0,0.172413796,0.103448279,0.448275864,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7064612054237659136
2023-05-16,14:46,1731,4,21,8,0,0,0,0.285714298,0,0.285714298,0.142857149,0.285714298,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7064249742301532160
2023-05-14,23:10,1456,3,16,5,0,0,0.25,0,0,0.25,0,0.25,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7063651755410034688
2023-05-11,14:15,969,3,7,1,0,0,0.375,0.25,0,0,0,0.25,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7062429933242904576
2023-05-11,23:18,2528,6,13,5,0,0,0.166666672,0.166666672,0,0.166666672,0,0.333333343,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7062566612859572224
2023-05-08,13:20,3506,12,45,9,0,0.083333336,0.166666672,0,0,0.25,0.083333336,0.166666672,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7061329015126589440
2023-05-05,18:11,2381,6,25,6,3,0,0,0.142857149,0.142857149,0,0.285714298,0.428571433,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7060315001214930944
2023-04-29,15:17,3338,4,23,11,0,0,0,0.200000003,0.200000003,0.200000003,0,0.400000006,,,,,,,https://www.linkedin.com/feed/update/urn:li:share:7058097033693315072
2023-04-28,16:15,1162,6,14,1,0,0.125,0.25,0.25,0,0.125,0,0.25,,,,,,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7057749101953626112
